instance_id,human_label
getmoto__moto-5752,No Misalignment
getmoto__moto-6178,No Misalignment
getmoto__moto-5865,No Misalignment
getmoto__moto-5545,DP
getmoto__moto-4833,SC-2
getmoto__moto-7105,No Misalignment
getmoto__moto-6185,No Misalignment
getmoto__moto-6212,No Misalignment
getmoto__moto-6469,No Misalignment
getmoto__moto-7111,UL-1
getmoto__moto-5286,No Misalignment
getmoto__moto-6470,"UL-1, SC-2"
getmoto__moto-7584,No Misalignment
getmoto__moto-6308,No Misalignment
getmoto__moto-5417,No Misalignment
getmoto__moto-4847,UL-1
getmoto__moto-5699,No Misalignment
getmoto__moto-5794,No Misalignment
getmoto__moto-7607,DP-1
getmoto__moto-5134,No Misalignment
getmoto__moto-4975,No Misalignment
getmoto__moto-5347,No Misalignment
getmoto__moto-5885,No Misalignment
getmoto__moto-6157,"FP-2, DP-2, IS-2"
getmoto__moto-5020,No Misalignment
getmoto__moto-7484,No Misalignment
getmoto__moto-7361,DP-2
getmoto__moto-4799,No Misalignment
getmoto__moto-5321,No Misalignment
getmoto__moto-5835,No Misalignment
getmoto__moto-5562,No Misalignment
getmoto__moto-6041,No Misalignment
getmoto__moto-7495,No Misalignment
getmoto__moto-6387,No Misalignment
getmoto__moto-7335,"FP-2,IS-2"
getmoto__moto-7348,"UL-1,IS-1"
getmoto__moto-5980,No Misalignment
getmoto__moto-6022,"UL-1,IS-1"
getmoto__moto-6226,No Misalignment
getmoto__moto-5737,No Misalignment
getmoto__moto-5406,No Misalignment
getmoto__moto-5899,No Misalignment
getmoto__moto-6913,DP-2
getmoto__moto-6508,UL-1
getmoto__moto-6317,IS-1
getmoto__moto-5701,IS-1
getmoto__moto-4990,No Misalignment
getmoto__moto-6121,DP-1
getmoto__moto-6355,No Misalignment
getmoto__moto-7273,No Misalignment
getmoto__moto-6585,No Misalignment
getmoto__moto-5960,SC-2
getmoto__moto-5478,No Misalignment
getmoto__moto-5502,No Misalignment
getmoto__moto-6114,No Misalignment
getmoto__moto-7331,DP-1
getmoto__moto-5620,No Misalignment
getmoto__moto-6701,No Misalignment
getmoto__moto-6408,No Misalignment
python__mypy-10392,No Misalignment
python__mypy-15184,"DP-2, IS-1"
python__mypy-11966,No Misalignment
python__mypy-10658,No Misalignment
python__mypy-11420,UL-1
python__mypy-11824,SC-1
python__mypy-5617,No Misalignment
python__mypy-15208,No Misalignment
python__mypy-15876,UL-1
python__mypy-16963,DP-1
python__mypy-10478,No Misalignment
python__mypy-9625,No Misalignment
python__mypy-10308,"SC-3,IS-2"
python__mypy-12741,No Misalignment
python__mypy-11434,No Misalignment
python__mypy-11236,SC-1
python__mypy-16966,No Misalignment
python__mypy-15131,UL-1
python__mypy-10174,No Misalignment
python__mypy-11857,No Misalignment
python__mypy-10424,No Misalignment
python__mypy-16869,No Misalignment
python__mypy-11241,"UL-1, DP-2,IS-2"
python__mypy-11352,DP-1
python__mypy-10284,SC-2
python__mypy-15413,No Misalignment
python__mypy-12222,No Misalignment
